id,Course,Hole,par,yardage,fun,difficulty,maintenance,city,state,postalCode,photo,thumbnail,description
barefoot-resort-golf-norman-course-5,Barefoot Resort & Golf - Norman Course,5,,,,,,North Myrtle Beach,,29582,,,
barefoot-resort-golf-norman-course-6,Barefoot Resort & Golf - Norman Course,6,,,,,,North Myrtle Beach,,29582,,,
barefoot-resort-golf-norman-course-7,Barefoot Resort & Golf - Norman Course,7,,,,,,North Myrtle Beach,,29582,,,
barefoot-resort-golf-norman-course-8,Barefoot Resort & Golf - Norman Course,8,,,,,,North Myrtle Beach,,29582,,,
barefoot-resort-golf-norman-course-9,Barefoot Resort & Golf - Norman Course,9,,,,,,North Myrtle Beach,,29582,,,
barefoot-resort-golf-norman-course-10,Barefoot Resort & Golf - Norman Course,10,,,,,,North Myrtle Beach,,29582,,,
barefoot-resort-golf-norman-course-11,Barefoot Resort & Golf - Norman Course,11,,,,,,North Myrtle Beach,,29582,,,
barefoot-resort-golf-norman-course-12,Barefoot Resort & Golf - Norman Course,12,,,,,,North Myrtle Beach,,29582,,,
barefoot-resort-golf-norman-course-13,Barefoot Resort & Golf - Norman Course,13,,,,,,North Myrtle Beach,,29582,,,
barefoot-resort-golf-norman-course-14,Barefoot Resort & Golf - Norman Course,14,,,,,,North Myrtle Beach,,29582,,,
barefoot-resort-golf-norman-course-15,Barefoot Resort & Golf - Norman Course,15,,,,,,North Myrtle Beach,,29582,,,
barefoot-resort-golf-norman-course-16,Barefoot Resort & Golf - Norman Course,16,,,,,,North Myrtle Beach,,29582,,,
barefoot-resort-golf-norman-course-17,Barefoot Resort & Golf - Norman Course,17,,,,,,North Myrtle Beach,,29582,,,
barefoot-resort-golf-norman-course-18,Barefoot Resort & Golf - Norman Course,18,,,,,,North Myrtle Beach,,29582,,,
barefoot-resort-golf-the-dye-club-1,Barefoot Resort & Golf - The Dye Club,1,,,,,,North Myrtle Beach,,29582,,,
barefoot-resort-golf-the-dye-club-2,Barefoot Resort & Golf - The Dye Club,2,,,,,,North Myrtle Beach,,29582,,,
barefoot-resort-golf-the-dye-club-3,Barefoot Resort & Golf - The Dye Club,3,,,,,,North Myrtle Beach,,29582,,,
barefoot-resort-golf-the-dye-club-4,Barefoot Resort & Golf - The Dye Club,4,,,,,,North Myrtle Beach,,29582,,,
barefoot-resort-golf-the-dye-club-5,Barefoot Resort & Golf - The Dye Club,5,,,,,,North Myrtle Beach,,29582,,,
barefoot-resort-golf-the-dye-club-6,Barefoot Resort & Golf - The Dye Club,6,,,,,,North Myrtle Beach,,29582,,,
barefoot-resort-golf-the-dye-club-7,Barefoot Resort & Golf - The Dye Club,7,,,,,,North Myrtle Beach,,29582,,,
barefoot-resort-golf-the-dye-club-8,Barefoot Resort & Golf - The Dye Club,8,,,,,,North Myrtle Beach,,29582,,,
barefoot-resort-golf-the-dye-club-9,Barefoot Resort & Golf - The Dye Club,9,,,,,,North Myrtle Beach,,29582,,,
barefoot-resort-golf-the-dye-club-10,Barefoot Resort & Golf - The Dye Club,10,,,,,,North Myrtle Beach,,29582,,,
barefoot-resort-golf-the-dye-club-11,Barefoot Resort & Golf - The Dye Club,11,,,,,,North Myrtle Beach,,29582,,,
barefoot-resort-golf-the-dye-club-12,Barefoot Resort & Golf - The Dye Club,12,,,,,,North Myrtle Beach,,29582,,,
barefoot-resort-golf-the-dye-club-13,Barefoot Resort & Golf - The Dye Club,13,,,,,,North Myrtle Beach,,29582,,,
barefoot-resort-golf-the-dye-club-14,Barefoot Resort & Golf - The Dye Club,14,,,,,,North Myrtle Beach,,29582,,,
barefoot-resort-golf-the-dye-club-15,Barefoot Resort & Golf - The Dye Club,15,,,,,,North Myrtle Beach,,29582,,,
barefoot-resort-golf-the-dye-club-16,Barefoot Resort & Golf - The Dye Club,16,,,,,,North Myrtle Beach,,29582,,,
barefoot-resort-golf-the-dye-club-17,Barefoot Resort & Golf - The Dye Club,17,,,,,,North Myrtle Beach,,29582,,,
barefoot-resort-golf-the-dye-club-18,Barefoot Resort & Golf - The Dye Club,18,,,,,,North Myrtle Beach,,29582,,,
